,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,alone,target
381,3,female,1,0,2,15.7417,C,Third,child,False,NaN,False,1
793,1,male,NaN,0,0,30.6958,C,First,man,True,NaN,True,0
729,3,female,25,1,0,7.925,S,Third,woman,False,NaN,False,0
362,3,female,45,0,1,14.4542,C,Third,woman,False,NaN,False,0
51,3,male,21,0,0,7.8,S,Third,man,True,NaN,True,0
171,3,male,4,4,1,29.125,Q,Third,child,False,NaN,False,0
150,2,male,51,0,0,12.525,S,Second,man,True,NaN,True,0
236,2,male,44,1,0,26.0,S,Second,man,True,NaN,False,0
862,1,female,48,0,0,25.9292,S,First,woman,False,D,True,1
141,3,female,22,0,0,7.75,S,Third,woman,False,NaN,True,1
335,3,male,NaN,0,0,7.8958,S,Third,man,True,NaN,True,0
828,3,male,NaN,0,0,7.75,Q,Third,man,True,NaN,True,1
773,3,male,NaN,0,0,7.225,C,Third,man,True,NaN,True,0
542,3,female,11,4,2,31.275,S,Third,child,False,NaN,False,0
477,3,male,29,1,0,7.0458,S,Third,man,True,NaN,False,0
810,3,male,26,0,0,7.8875,S,Third,man,True,NaN,True,0
745,1,male,70,1,1,71.0,S,First,man,True,B,False,0
544,1,male,50,1,0,106.425,C,First,man,True,C,False,0
786,3,female,18,0,0,7.4958,S,Third,woman,False,NaN,True,1
762,3,male,20,0,0,7.2292,C,Third,man,True,NaN,True,1
90,3,male,29,0,0,8.05,S,Third,man,True,NaN,True,0
322,2,female,30,0,0,12.35,Q,Second,woman,False,NaN,True,1
399,2,female,28,0,0,12.65,S,Second,woman,False,NaN,True,1
650,3,male,NaN,0,0,7.8958,S,Third,man,True,NaN,True,0
339,1,male,45,0,0,35.5,S,First,man,True,NaN,True,0
28,3,female,NaN,0,0,7.8792,Q,Third,woman,False,NaN,True,1
682,3,male,20,0,0,9.225,S,Third,man,True,NaN,True,0
531,3,male,NaN,0,0,7.2292,C,Third,man,True,NaN,True,0
564,3,female,NaN,0,0,8.05,S,Third,woman,False,NaN,True,0
470,3,male,NaN,0,0,7.25,S,Third,man,True,NaN,True,0
410,3,male,NaN,0,0,7.8958,S,Third,man,True,NaN,True,0
693,3,male,25,0,0,7.225,C,Third,man,True,NaN,True,0
78,2,male,0.83,0,2,29.0,S,Second,child,False,NaN,False,1
663,3,male,36,0,0,7.4958,S,Third,man,True,NaN,True,0
241,3,female,NaN,1,0,15.5,Q,Third,woman,False,NaN,False,1
890,3,male,32,0,0,7.75,Q,Third,man,True,NaN,True,0
345,2,female,24,0,0,13.0,S,Second,woman,False,F,True,1
480,3,male,9,5,2,46.9,S,Third,child,False,NaN,False,0
756,3,male,28,0,0,7.7958,S,Third,man,True,NaN,True,0
370,1,male,25,1,0,55.4417,C,First,man,True,E,False,1
659,1,male,58,0,2,113.275,C,First,man,True,D,False,0
817,2,male,31,1,1,37.0042,C,Second,man,True,NaN,False,0
491,3,male,21,0,0,7.25,S,Third,man,True,NaN,True,0
587,1,male,60,1,1,79.2,C,First,man,True,B,False,1
765,1,female,51,1,0,77.9583,S,First,woman,False,D,False,1
311,1,female,18,2,2,262.375,C,First,woman,False,B,False,1
434,1,male,50,1,0,55.9,S,First,man,True,E,False,0
