,survived
381,1
793,0
729,0
362,0
51,0
171,0
150,0
236,0
862,1
141,1
335,0
828,1
773,0
542,0
477,0
810,0
745,0
544,0
786,1
762,1
90,0
322,1
399,1
650,0
339,0
28,1
682,0
531,0
564,0
470,0
410,0
693,0
78,1
663,0
241,1
890,0
345,1
480,0
756,0
370,1
659,0
817,0
491,0
587,1
765,1
311,1
434,0
801,1
294,0
459,0
420,0
445,1
648,0
776,0
830,1
98,1
257,1
138,0
513,1
12,0
406,0
348,1
611,0
396,0
606,0
478,0
37,0
836,0
359,1
1,1
462,0
523,1
668,0
616,0
263,0
780,1
233,1
109,1
584,0
483,1
169,0
432,1
175,0
632,1
469,1
563,0
846,0
216,1
107,1
506,1
822,0
245,0
452,0
811,0
390,1
299,1
662,0
268,1
189,0
363,0
597,0
19,1
403,0
149,0
218,1
803,1
319,1
540,1
72,0
249,0
371,0
228,0
877,0
364,0
456,0
192,1
282,0
160,0
283,1
654,0
672,0
635,1
537,1
727,1
686,0
237,1
455,1
409,0
636,0
760,0
47,1
279,1
463,0
293,0
130,0
853,1
36,1
389,1
238,0
485,0
702,0
350,0
545,0
144,0
388,0
464,0
156,1
505,0
718,0
5,0
278,0
676,0
416,1
99,0
162,0
826,0
205,0
476,0
438,0
500,0
848,0
580,1
439,0
251,0
692,1
18,0
318,1
215,1
532,0
799,0
127,1
105,0
303,1
638,0
804,1
11,1
691,1
524,0
203,0
387,1
437,1
755,1
704,0
800,0
306,1
589,0
764,0
499,0
617,0
313,0
860,0
121,0
355,0
119,0
354,0
869,1
108,0
441,0
783,0
539,1
536,0
123,1
481,0
675,0
473,1
838,1
65,1
886,0
578,0
20,0
343,0
54,0
864,0
715,0
561,0
741,0
644,1
369,1
214,0
845,0
383,1
155,0
514,0
874,1
404,0
320,0
145,0
55,1
837,0
507,1
777,1
533,1
35,0
771,0
807,0
316,1
39,1
394,1
48,0
116,0
802,1
269,1
234,0
687,0
146,1
289,1
797,1
111,0
329,1
151,1
312,0
703,0
386,0
758,0
190,1
722,0
126,0
402,0
337,1
87,0
74,1
384,0
226,1
21,1
338,1
673,1
468,0
453,1
4,0
857,1
112,0
482,0
624,0
358,1
551,0
324,0
583,0
451,0
716,1
106,1
448,1
367,1
593,0
622,1
373,0
781,1
535,1
252,0
88,1
674,0
627,1
357,0
788,1
412,1
79,1
429,1
435,1
413,0
834,0
541,0
515,0
749,0
835,1
503,0
594,0
261,1
844,0
210,0
699,0
791,0
60,0
824,0
576,1
768,0
118,0
450,0
301,1
352,0
221,0
855,1
870,0
614,0
748,0
167,0
665,0
547,1
677,1
211,1
446,1
843,0
83,0
433,0
431,1
415,0
207,1
472,1
323,1
885,0
733,0
197,0
778,0
612,1
736,0
100,0
525,0
101,0
250,0
255,1
457,1
341,1
353,0
608,1
258,1
705,0
254,0
656,0
201,0
618,1
84,1
52,1
104,0
501,0
484,1
488,0
779,1
737,1
360,0
516,1
